id_match,match_number,stage,group,home_team,away_team,hot,hot_reason,home_score,away_score,match_status,start_utc,start_local,local_timezone,start_china,venue,city,country,source_page_url,api_url
400021443,1,First Stage,Group A,Mexico,South Africa,True,Host nation match,,,1,2026-06-11T19:00:00+00:00,2026-06-11T13:00:00-06:00,America/Mexico_City,2026-06-12T03:00:00+08:00,Mexico City Stadium,Mexico City,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021441,2,First Stage,Group A,Korea Republic,Czechia,True,High-attention team,,,1,2026-06-12T02:00:00+00:00,2026-06-11T20:00:00-06:00,America/Mexico_City,2026-06-12T10:00:00+08:00,Guadalajara Stadium,Guadalajara,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021449,3,First Stage,Group B,Canada,Bosnia and Herzegovina,True,Host nation match,,,1,2026-06-12T19:00:00+00:00,2026-06-12T15:00:00-04:00,America/Toronto,2026-06-13T03:00:00+08:00,Toronto Stadium,Toronto,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021458,4,First Stage,Group D,USA,Paraguay,True,Host nation match,,,1,2026-06-13T01:00:00+00:00,2026-06-12T18:00:00-07:00,America/Los_Angeles,2026-06-13T09:00:00+08:00,Los Angeles Stadium,Los Angeles,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021453,5,First Stage,Group C,Haiti,Scotland,False,,,,1,2026-06-14T01:00:00+00:00,2026-06-13T21:00:00-04:00,America/New_York,2026-06-14T09:00:00+08:00,Boston Stadium,Boston,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021463,6,First Stage,Group D,Australia,Türkiye,False,,,,1,2026-06-14T04:00:00+00:00,2026-06-13T21:00:00-07:00,America/Vancouver,2026-06-14T12:00:00+08:00,BC Place Vancouver,Vancouver,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021456,7,First Stage,Group C,Brazil,Morocco,True,FIFA/media focus candidate configured manually,,,1,2026-06-13T22:00:00+00:00,2026-06-13T18:00:00-04:00,America/New_York,2026-06-14T06:00:00+08:00,New York/New Jersey Stadium,New Jersey,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021447,8,First Stage,Group B,Qatar,Switzerland,False,,,,1,2026-06-13T19:00:00+00:00,2026-06-13T12:00:00-07:00,America/Los_Angeles,2026-06-14T03:00:00+08:00,San Francisco Bay Area Stadium,San Francisco Bay Area,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021467,9,First Stage,Group E,Côte d'Ivoire,Ecuador,False,,,,1,2026-06-14T23:00:00+00:00,2026-06-14T19:00:00-04:00,America/New_York,2026-06-15T07:00:00+08:00,Philadelphia Stadium,Philadelphia,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021464,10,First Stage,Group E,Germany,Curaçao,False,,,,1,2026-06-14T17:00:00+00:00,2026-06-14T12:00:00-05:00,America/Chicago,2026-06-15T01:00:00+08:00,Houston Stadium,Houston,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
